Year,gender_parity_pri,gender_parity_sec,gender_parity_ter,Malay_PostSec,Chinese_PostSec,Indian_PostSec,Overall_PostSec,Pupil_Teacher_Primary,Pupil_Teacher_Secondary,Pass PSLE,Pass N / O Levels,Pass A Levels,Number of primary school,Number of secondary school,Enrolment: Primary,Enrolment: Primary (Male),Enrolment: Primary (Female),Enrolment: Secondary,Enrolment: Secondary (Male),Enrolment: Secondary (Female)
1960,,,,,,,,,,,,,413,48,283036,157970,125066,50923,30832,20091
1970,,,,,,,,,,,,,388,85,362842,193423,169419,133405,68103,65302
1980,,,,,,,,,,,,,313,107,291510,152307,139203,155533,76765,78768
1981,,,,,,,,30.1,21.6,,,,,,,,,,,
1982,,,,,,,,30.3,21.5,,,,,,,,,,,
1983,,,,,,,,29.3,21.5,,,,,,,,,,,
1984,,,,,,,,27.7,23.5,,,,,,,,,,,
1985,,,,,,,,26.8,22.8,,,,,,,,,,,
1986,,,,,,,,26.2,24,,,,,,,,,,,
1987,,,,,,,,25.7,22.5,,,,,,,,,,,
1988,,,,,,,,26,22.9,,,,,,,,,,,
1989,,,,,,,,25.8,22.3,,,,,,,,,,,
1990,0.99,1.06,0.77,,,,,25.8,21.7,,,,200,133,257757,135573,122184,160542,82111,78431
1991,0.99,1.05,0.79,,,,,26.4,21.2,,,,,,,,,,,
1992,0.99,1.04,0.8,,,,,25.8,20.8,,,,,,,,,,,
1993,0.99,1.06,0.81,,,,,24.4,20.9,,,,,,,,,,,
1994,0.99,1.02,0.83,,,,,23.8,21.8,,,,,,,,,,,
1995,0.99,1.01,0.86,45.1,73.3,50.1,67.7,25,22.7,,,,,,,,,,,
1996,0.99,1.01,0.83,49.8,76.8,54,71.3,25.3,21.5,,,,,,,,,,,
1997,0.99,1,0.85,54.5,78.2,58.7,72.9,26.5,19.8,,,,,,,,,,,
1998,0.99,1,0.85,62.6,81,61.1,76.3,26.3,20.1,,,,,,,,,,,
1999,0.99,1,0.89,66.4,82.4,64.6,78.2,26.6,19.4,,,,,,,,,,,
2000,0.99,1,0.91,70,88.4,74.9,83.8,25.6,19.2,,,,195,157,305705,158298,147407,175405,91551,83854
2001,0.99,1,0.93,74.6,90.2,77.7,86.2,25.1,19.6,,,,,,,,,,,
2002,1,1,0.92,76.2,91.4,80.1,87.6,24.4,18.9,,,,,,,,,,,
2003,0.99,1,0.94,78.4,91.6,82,88,24.9,19.1,98.5,86.3,25.3,173,160,299939,155233,144706,206426,107058,99368
2004,0.99,1,0.94,79,92.9,85.1,89.5,24.3,19,98.5,86.9,24.6,172,157,296419,153483,142936,213534,110398,103136
2005,0.99,1,0.98,81.7,93.6,84.7,90.9,23.5,18.5,98.4,86.9,24.6,173,156,290261,150334,139927,213063,110248,102815
2006,0.99,1,0.98,82.9,93.6,86.6,90.8,22.6,18.4,98.3,86.8,25.2,172,155,284600,147638,136962,215097,111131,103966
2007,0.99,1,1.01,84.1,94.3,87.6,91.8,22.1,18.3,98.2,86.8,25,170,154,285048,148039,137009,218062,112928,105134
2008,0.99,1,1.03,86,95.6,90.2,93.2,21.4,17.9,97.9,86.9,25.5,174,154,279272,144866,134406,217081,112416,104665
2009,0.99,0.99,1.01,87.2,95.8,90.5,93.7,19.6,16.4,98.1,87.5,25.6,172,154,272254,140928,131326,217230,112604,104626
2010,1,1,1.08,88.3,96.5,92.2,94.5,19.3,16.1,98,87.8,26,173,155,263906,136369,127537,214388,111109,103279
2011,1,1,1.1,89.3,96.9,92.8,95.1,18.6,14.8,97.9,89.1,26,174,154,258293,133482,124811,207974,107628,100346
2012,1,1,1.09,89.9,97.3,93.8,95.6,17.7,13.9,98.2,88.9,25.7,175,154,252735,130281,122454,202520,104797,97723
2013,,,,,,,,,,,,,182,154,244045,125423,118622,197165,101948,95217