Year,GovtExpenditureEdu
1981,942517000
1982,1358430000
1983,1611647000
1984,1769728000
1985,1812376000
1986,1641893000
1987,1654115000
1988,1604473000
1989,1765250000
1990,2056374000
1991,2816371000
1992,2597894000
1993,2902886000
1994,3318956000
1995,3443857000
1996,3771955389
1997,4449754000
1998,4853120000
1999,4857488000
2000,5867507000
2001,6239575000
2002,6597955000
2003,6214434000
2004,6214121253
2005,6082277579
2006,6959285282
2007,7527667772
2008,8229694000
2009,8685056000
2010,9875445000
2011,10740250000
2012,10525819000