"School","Scholarship","Gender","Course","Organisation","ScholarshipTemp","CourseTemp"
"Raffles Institution","Overseas Merit Scholarship","Female","Humanities","Ministries","Overseas Merit Scholarship (Open)","Humanities"
"Raffles Institution","SG Government Scholarship","Female","Others","Ministries","Singapore Government Scholarship (Open)","Mathematics"
"Others","Others","Female","Others","Others","Local Merit Scholarship (Open) - Medicine","Medicine"
"Victoria Junior College","SG Government Scholarship","Female","Economics","Others","Singapore Government Scholarship (Open)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Female","Others","Ministries","Overseas Merit Scholarship (Open)","Mathematics"
"Hwa Chong Institution","Overseas Merit Scholarship","Male","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","SG Government Scholarship","Male","Economics","Ministries","Singapore Government Scholarship (Open)","Economics"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Others","Overseas Merit Scholarship","Male","Engineering","Ministries","Overseas Merit Scholarship (Open)","Engineering"
"Raffles Institution","Overseas Merit Scholarship","Male","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Victoria Junior College","SG Government Scholarship","Female","Humanities","Others","Singapore Government Scholarship (Open)","Humanities"
"Raffles Institution","Overseas Merit Scholarship","Male","Engineering","PMO","Overseas Merit Scholarship (Open)","Engineering"
"Victoria Junior College","Overseas Merit Scholarship","Female","Humanities","Others","Overseas Merit Scholarship (Foreign Service)","Humanities"
"Raffles Institution","Overseas Merit Scholarship","Male","Others","AGC","Overseas Merit Scholarship (Legal Service)","Law"
"Raffles Institution","SG Government Scholarship","Female","Economics","Ministries","Singapore Government Scholarship (Open)","Economics"
"Raffles Institution","SG Government Scholarship","Male","Others","PMO","Singapore Government Scholarship (Open)","Mathematics"
"Raffles Institution","SAF's Scholarship","Male","Humanities","Others","SAF Overseas Scholarship","Humanities"
"Raffles Institution","Others","Female","Others","Others","Local Merit Scholarship (Open) - Medicine","Medicine"
"Others","SG Government Scholarship","Female","Science","Others","Singapore Government Scholarship (Open)","Science"
"Hwa Chong Institution","Others","Male","Economics","Ministries","SPF Overseas Scholarship","Economics"
"Hwa Chong Institution","Others","Female","Economics","Others","Local - Overseas Merit Scholarship (Teaching)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Male","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Hwa Chong Institution","SG Government Scholarship","Male","Science","Others","Singapore Government Scholarship (Open)","Computer Science"
"Raffles Institution","Overseas Merit Scholarship","Male","Others","Ministries","Overseas Merit Scholarship (Specialist)","Mathematics"
"Raffles Institution","SAF's Scholarship","Male","Humanities","Others","SAF Overseas Scholarship","Humanities"
"Hwa Chong Institution","SG Government Scholarship","Unknown","Science","Ministries","Singapore Government Scholarship (Open)","Science"
"Hwa Chong Institution","SG Government Scholarship","Female","Humanities","Others","Singapore Government Scholarship (Open)","Humanities"
"Others","SG Government Scholarship","Male","Engineering","Others","Singapore Government Scholarship (Open)","Engineering"
"Raffles Institution","SG Government Scholarship","Male","Science","Others","Singapore Government Scholarship (Open)","Science"
"Raffles Institution","Others","Male","Humanities","Ministries","President's Scholarship","Humanities"
"Raffles Institution","Others","Female","Economics","Ministries","President's Scholarship","Economics"
"Raffles Institution","Others","Female","Others","Others","President's Scholarship","Medicine"
"Hwa Chong Institution","Others","Female","Others","Others","President's Scholarship","Medicine"
"Others","Overseas Merit Scholarship","Female","Economics","Others","Local-Overseas Merit Scholarship (Open)","Economics"
"Others","Overseas Merit Scholarship","Male","Economics","Others","Overseas Merit Scholarship (Teaching)","Economics"
"Raffles Institution","SAF's Scholarship","Male","Science","Others","SAF Overseas Scholarship","Science"
"Raffles Institution","Overseas Merit Scholarship","Male","Economics","PMO","Overseas Merit Scholarship (Open)","Economics"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Humanities","PMO","Overseas Merit Scholarship (Open)","Humanities"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Others","AGC","Local-Overseas Merit Scholarship (Open)","Law"
"Hwa Chong Institution","SG Government Scholarship","Male","Economics","Others","Singapore Government Scholarship (Open)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Female","Science","Others","Overseas Merit Scholarship (Open)","Science"
"Others","SG Government Scholarship","Female","Others","AGC","Singapore Government Scholarship (Open)","Law"
"Victoria Junior College","SAF's Scholarship","Male","Economics","Others","SAF Overseas Scholarship","Economics"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Victoria Junior College","SG Government Scholarship","Male","Engineering","Ministries","Singapore Government Scholarship (Open)","Engineering"
"Raffles Institution","SG Government Scholarship","Male","Engineering","Others","Singapore Government Scholarship (Open)","Engineering"
"Raffles Institution","Overseas Merit Scholarship","Female","Humanities","Others","Overseas Merit Scholarship (Teaching)","Humanities"
"Hwa Chong Institution","SG Government Scholarship","Male","Engineering","Others","Singapore Government Scholarship (Open)","Engineering"
"Anglo Chinese School (Independent)","SG Government Scholarship","Male","Humanities","Others","Singapore Government Scholarship (Open)","Humanities"
"Others","SG Government Scholarship","Male","Humanities","Others","Singapore Government Scholarship (Open)","Humanities"
"Hwa Chong Institution","SG Government Scholarship","Female","Economics","PMO","Singapore Government Scholarship (Open)","Economics"
"Others","Overseas Merit Scholarship","Female","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Others","Overseas Merit Scholarship","Female","Science","Others","Local-Overseas Merit Scholarship (Open)","Science"
"Hwa Chong Institution","SG Government Scholarship","Male","Humanities","Ministries","Singapore Government Scholarship (Open)","Humanities"
"Others","SG Government Scholarship","Female","Humanities","Ministries","Singapore Government Scholarship (Open)","Humanities"
"Hwa Chong Institution","SAF's Scholarship","Male","Economics","Others","SAF Overseas Scholarship","Economics"
"Raffles Institution","SG Government Scholarship","Male","Others","Others","Singapore Government Scholarship (Open)","Mathematics"
"Hwa Chong Institution","Overseas Merit Scholarship","Male","Science","Others","Overseas Merit Scholarship (Teaching)","Science"
"Raffles Institution","Overseas Merit Scholarship","Male","Science","Others","Overseas Merit Scholarship (Teaching)","Science"
"Others","SG Government Scholarship","Male","Others","Ministries","Singapore Government Scholarship (Open)","Business"
"Hwa Chong Institution","SG Government Scholarship","Male","Science","Others","Singapore Government Scholarship (Open)","Science"
"Raffles Institution","SG Government Scholarship","Male","Economics","Others","Singapore Government Scholarship (Open)","Economics"
"Raffles Institution","SAF's Scholarship","Male","Humanities","Others","SAF Overseas Scholarship","Humanities"
"Anglo Chinese School (Independent)","Overseas Merit Scholarship","Male","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Female","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","SG Government Scholarship","Male","Humanities","Ministries","Singapore Government Scholarship (Open)","Humanities"
"Hwa Chong Institution","Overseas Merit Scholarship","Male","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","Others","Female","Others","Others","Local Merit Scholarship (Open)","Medicine"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Science","Ministries","Overseas Merit Scholarship (Open)","Science"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Others","Others","Overseas Merit Scholarship (Legal Service)","Law"
"Raffles Institution","Overseas Merit Scholarship","Male","Others","PMO","Overseas Merit Scholarship (Specialist)","Mathematics"
"Victoria Junior College","SG Government Scholarship","Male","Economics","AGC","Singapore Government Scholarship (Open)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Male","Humanities","Ministries","Overseas Merit Scholarship (Open)","Humanities"
"Raffles Institution","SG Government Scholarship","Female","Engineering","Others","Singapore Government Scholarship (Open)","Engineering"
"Others","Overseas Merit Scholarship","Female","Others","AGC","Overseas Merit Scholarship (Legal Service)","Law"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Science","Others","Overseas Merit Scholarship (Teaching)","Science"
"Others","SG Government Scholarship","Male","Engineering","Others","Singapore Government Scholarship (Open)","Engineering"
"Others","SG Government Scholarship","Male","Economics","Others","Singapore Government Scholarship (Open)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Male","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Humanities","Ministries","Overseas Merit Scholarship (Open)","Humanities"
"Victoria Junior College","Overseas Merit Scholarship","Female","Science","Others","Overseas Merit Scholarship (Teaching)","Science"
"Raffles Institution","Overseas Merit Scholarship","Male","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Hwa Chong Institution","Overseas Merit Scholarship","Male","Engineering","Ministries","Overseas Merit Scholarship (Open)","Engineering"
"Anglo Chinese School (Independent)","SG Government Scholarship","Male","Engineering","Others","Singapore Government Scholarship (Open)","Engineering"
"Others","SG Government Scholarship","Male","Engineering","Others","Singapore Government Scholarship (Open)","Engineering and Economics"
"Hwa Chong Institution","SG Government Scholarship","Female","Economics","Others","Singapore Government Scholarship (Open)","Economics"
"Others","SG Government Scholarship","Female","Economics","Others","Singapore Government Scholarship (Open)","Economics"
"Anglo Chinese School (Independent)","Overseas Merit Scholarship","Male","Engineering","Others","Overseas Merit Scholarship (Open)","Engineering"
"Hwa Chong Institution","SG Government Scholarship","Male","Science","Others","Singapore Government Scholarship (Open)","Science"
"Hwa Chong Institution","Others","Male","Others","Others","Local Merit Scholarship (Open)","Medicine"
"Anglo Chinese School (Independent)","Overseas Merit Scholarship","Male","Humanities","Others","Overseas Merit Scholarship (Open)","Humanities"
"Raffles Institution","Overseas Merit Scholarship","Male","Engineering","Ministries","Overseas Merit Scholarship (Open)","Engineering"
"Raffles Institution","SG Government Scholarship","Male","Economics","Ministries","Singapore Government Scholarship (Open)","Economics"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Others","Ministries","Overseas Merit Scholarship (Open)","Mathematics"
"Others","SG Government Scholarship","Female","Humanities","Others","Singapore Government Scholarship (Open)","Humanities"
"Raffles Institution","SG Government Scholarship","Female","Economics","Ministries","Singapore Government Scholarship (Open)","Economics"
"Others","Others","Male","Humanities","Ministries","PSC Master's Scholarship","Humanities"
"Others","SG Government Scholarship","Male","Others","Others","Singapore Government Scholarship (Open)","Business"
"Raffles Institution","Overseas Merit Scholarship","Female","Science","Ministries","Overseas Merit Scholarship (Open)","Science"
"Hwa Chong Institution","Others","Female","Others","AGC","President's Scholarship","Law"
"Raffles Institution","Others","Male","Economics","Others","President's Scholarship","Economics"
"Raffles Institution","Others","Male","Economics","Others","President's Scholarship","Economics"
"Hwa Chong Institution","Others","Female","Economics","Others","President's Scholarship","Economics"
"Raffles Institution","Others","Female","Others","Others","President's Scholarship","Medicine"
"Raffles Institution","Overseas Merit Scholarship","Male","Economics","Others","Overseas Merit Scholarship (Foreign Service)","Economics"
"Others","Overseas Merit Scholarship","Male","Others","Others","Overseas Merit Scholarship (Legal Service)","Law"
"Raffles Institution","Overseas Merit Scholarship","Female","Science","Ministries","Overseas Merit Scholarship (Open)","Science"
"Raffles Institution","Overseas Merit Scholarship","Male","Others","Others","Overseas Merit Scholarship (Legal Service)","Law"
"Others","Overseas Merit Scholarship","Male","Humanities","Others","Overseas Merit Scholarship (Open)","Humanities"
"Others","Overseas Merit Scholarship","Female","Science","Ministries","Overseas Merit Scholarship (Open)","Science"
"Anglo Chinese School (Independent)","SG Government Scholarship","Male","Economics","Others","Singapore Government Scholarship (Open)","Economics"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Science","Others","Overseas Merit Scholarship (Open)","Science"
"Hwa Chong Institution","Overseas Merit Scholarship","Male","Science","Others","Overseas Merit Scholarship (Open)","Science"
"Raffles Institution","Overseas Merit Scholarship","Female","Economics","PMO","Overseas Merit Scholarship (Open)","Economics"
"Anglo Chinese School (Independent)","SG Government Scholarship","Male","Economics","Others","Singapore Government Scholarship (Open)","Economics"
"Others","Others","Female","Others","Others","Local Merit Scholarship (Open)","Medicine"
"Raffles Institution","Overseas Merit Scholarship","Female","Others","Others","Local-Overseas Merit Scholarship (Open)","Business"
"Others","Overseas Merit Scholarship","Male","Others","Others","Local-Overseas Merit Scholarship (Legal Service)","Law"
"Raffles Institution","Overseas Merit Scholarship","Male","Engineering","Others","Overseas Merit Scholarship (Open)","Engineering"
"Raffles Institution","SAF's Scholarship","Male","Engineering","Others","SAF Overseas Scholarship","Engineering"
"Anglo Chinese School (Independent)","SAF's Scholarship","Male","Humanities","Others","SAF Overseas Scholarship","Humanities"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Humanities","Others","Overseas Merit Scholarship (Open)","Humanities"
"Anglo Chinese School (Independent)","Overseas Merit Scholarship","Male","Humanities","Others","Overseas Merit Scholarship (Open)","Humanities"
"Raffles Institution","Overseas Merit Scholarship","Female","Economics","AGC","Local-Overseas Merit Scholarship (Legal Service)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Female","Engineering","Ministries","Overseas Merit Scholarship (Open)","Engineering"
"Victoria Junior College","Overseas Merit Scholarship","Male","Science","Others","Overseas Merit Scholarship (Open)","Science"
"Victoria Junior College","SG Government Scholarship","Male","Economics","Others","Singapore Government Scholarship (Open)","Economics"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Male","Humanities","Others","Overseas Merit Scholarship (Open)","Humanities"
"Anglo Chinese School (Independent)","SG Government Scholarship","Male","Humanities","Others","Singapore Government Scholarship (Open)","Humanities"
"Others","SG Government Scholarship","Male","Economics","Others","Singapore Government Scholarship (Open)","Economics"
"Raffles Institution","SG Government Scholarship","Male","Economics","Others","Singapore Government Scholarship (Open)","Economics"
"Raffles Institution","SG Government Scholarship","Male","Economics","Others","Singapore Government Scholarship (Open)","Economics"
"Raffles Institution","SG Government Scholarship","Female","Engineering","Ministries","Singapore Government Scholarship (Open)","Engineering"
"Others","Overseas Merit Scholarship","Male","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Others","Overseas Merit Scholarship","Female","Humanities","Others","Overseas Merit Scholarship (Open)","Humanities"
"Hwa Chong Institution","Overseas Merit Scholarship","Male","Humanities","Others","Overseas Merit Scholarship (Open)","Humanities"
"Raffles Institution","SG Government Scholarship","Male","Humanities","Others","Singapore Government Scholarship (Open)","Humanities"
"Hwa Chong Institution","SG Government Scholarship","Male","Economics","Others","Singapore Government Scholarship (Open)","Economics"
"Raffles Institution","SAF's Scholarship","Male","Engineering","Others","SAF Overseas Scholarship","Engineering"
"Raffles Institution","Overseas Merit Scholarship","Female","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Hwa Chong Institution","Overseas Merit Scholarship","Male","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Male","Science","Others","Overseas Merit Scholarship (Open)","Computer Science and Finance"
"Hwa Chong Institution","SG Government Scholarship","Male","Humanities","Others","Singapore Government Scholarship (Open)","Humanities"
"Hwa Chong Institution","SAF's Scholarship","Male","Economics","Others","SAF Overseas Scholarship","Economics"
"Anglo Chinese School (Independent)","Overseas Merit Scholarship","Male","Science","Others","Overseas Merit Scholarship (Teaching)","Science"
"Hwa Chong Institution","SG Government Scholarship","Female","Humanities","Others","Singapore Government Scholarship (Open)","Humanities"
"Hwa Chong Institution","SG Government Scholarship","Male","Engineering","Others","Singapore Government Scholarship (Open)","Engineering"
"Others","SG Government Scholarship","Female","Humanities","PMO","Singapore Government Scholarship (Open)","Humanities"
"Hwa Chong Institution","Overseas Merit Scholarship","Male","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","SG Government Scholarship","Male","Economics","Others","Singapore Government Scholarship (Open)","Economics"
"Raffles Institution","SG Government Scholarship","Female","Economics","Ministries","Singapore Government Scholarship (Open)","Economics"
"Others","SG Government Scholarship","Male","Economics","Others","Singapore Government Scholarship (Open)","Economics"
"Others","SG Government Scholarship","Female","Economics","Ministries","Singapore Government Scholarship (Open)","Economics"
"Raffles Institution","SAF's Scholarship","Male","Economics","Others","SAF Overseas Scholarship","Economics"
"Others","SG Government Scholarship","Male","Others","Others","Singapore Government Scholarship (Open)","Law"
"Raffles Institution","Overseas Merit Scholarship","Female","Others","AGC","Local-Overseas Merit Scholarship (Legal Service)","Law"
"Others","Overseas Merit Scholarship","Male","Others","Others","Overseas Merit Scholarship (Teaching)","Mathematics"
"Raffles Institution","SG Government Scholarship","Male","Economics","Others","Singapore Government Scholarship (Open)","Economics"
"Raffles Institution","SG Government Scholarship","Male","Others","Others","Singapore Government Scholarship (Open)","Law"
"Raffles Institution","Others","Male","Science","Others","SPF Overseas Scholarship","Science"
"Raffles Institution","Overseas Merit Scholarship","Female","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Female","Others","AGC","Overseas Merit Scholarship (Legal Service)","Law"
"Raffles Institution","SG Government Scholarship","Female","Engineering","Ministries","Singapore Government Scholarship (Open)","Engineering"
"Others","Overseas Merit Scholarship","Female","Engineering","Others","Overseas Merit Scholarship (Open)","Engineering"
"Raffles Institution","Overseas Merit Scholarship","Male","Science","Others","Overseas Merit Scholarship (Teaching)","Science"
"Raffles Institution","Overseas Merit Scholarship","Male","Others","Others","Overseas Merit Scholarship (Legal Service)","Law"
"Raffles Institution","SG Government Scholarship","Female","Economics","Others","Singapore Government Scholarship (Open)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Male","Others","Others","Overseas Merit Scholarship (Open)","Mathematics"
"Hwa Chong Institution","SG Government Scholarship","Male","Economics","Others","Singapore Government Scholarship (Open)","Economics"
"Others","SG Government Scholarship","Male","Engineering","Others","Singapore Government Scholarship (Open)","Engineering"
"Others","SG Government Scholarship","Male","Economics","Others","Singapore Government Scholarship (Open)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Male","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Female","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Others","Overseas Merit Scholarship","Male","Others","Others","Local-Overseas Merit Scholarship (Open)","Business"
"Others","Overseas Merit Scholarship","Female","Humanities","Others","Overseas Merit Scholarship (Open)","Humanities"
"Raffles Institution","Overseas Merit Scholarship","Male","Science","Others","Overseas Merit Scholarship (Open)","Science"
"Others","Others","Male","Economics","Others","SPF Overseas Scholarship","Economics"
"Others","Overseas Merit Scholarship","Male","Science","Others","Overseas Merit Scholarship (Teaching)","Science"
"Raffles Institution","SG Government Scholarship","Male","Engineering","Others","Singapore Government Scholarship (Open)","Engineering + Economics"
"Others","Overseas Merit Scholarship","Male","Engineering","Others","Local-Overseas Merit Scholarship (Open)","Engineering + Economics"
"Raffles Institution","Overseas Merit Scholarship","Male","Engineering","Others","Overseas Merit Scholarship (Open)","Engineering"
"Others","Others","Female","Economics","Others","President's Scholarship","Economics"
"Hwa Chong Institution","Others","Female","Humanities","Ministries","President's Scholarship","Humanities"
"Others","Others","Female","Economics","Others","President's Scholarship","Economics"
"Raffles Institution","Others","Male","Economics","Others","President's Scholarship","Economics"
"Victoria Junior College","Others","Male","Economics","Others","President's Scholarship","Economics"
"Others","Others","Male","Others","Others","President's Scholarship","Law"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Humanities","Others","Overseas Merit Scholarship (Open)","Humanities"
"Hwa Chong Institution","Overseas Merit Scholarship","Male","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Female","Humanities","PMO","Overseas Merit Scholarship (Open)","Humanities"
"Others","Overseas Merit Scholarship","Unknown","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","SG Government Scholarship","Male","Economics","Others","Singapore Government Scholarship (Open)","Economics"
"Raffles Institution","SG Government Scholarship","Unknown","Economics","Others","Singapore Government Scholarship (Open)","Economics"
"Hwa Chong Institution","SG Government Scholarship","Female","Others","Others","Singapore Government Scholarship (Open)","Law"
"Anglo Chinese School (Independent)","SG Government Scholarship","Unknown","Economics","Others","Singapore Government Scholarship (Open)","Economics"
"Others","Overseas Merit Scholarship","Female","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Hwa Chong Institution","SG Government Scholarship","Unknown","Humanities","Others","Singapore Government Scholarship (Open)","Humanities"
"Hwa Chong Institution","SG Government Scholarship","Unknown","Others","Others","Singapore Government Scholarship (Open)","Law"
"Raffles Institution","SG Government Scholarship","Male","Economics","Others","Singapore Government Scholarship (Open)","Economics"
"Anglo Chinese School (Independent)","Overseas Merit Scholarship","Unknown","Economics","Others","Overseas Merit Scholarship (Legal Service)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Unknown","Economics","Others","Overseas Merit Scholarship (Foreign Service)","Economics"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Science","Others","Overseas Merit Scholarship (Open)","Science"
"Hwa Chong Institution","Others","Female","Others","Others","Local Merit Scholarship (Open)","Mathematics"
"Raffles Institution","Overseas Merit Scholarship","Female","Others","Others","Overseas Merit Scholarship (Legal Service)","Law"
"Others","Overseas Merit Scholarship","Female","Science","Others","Overseas Merit Scholarship (Teaching)","Science"
"Others","Overseas Merit Scholarship","Male","Others","Others","Overseas Merit Scholarship (Open)","Law"
"Hwa Chong Institution","Overseas Merit Scholarship","Male","Others","Others","Local-Overseas Merit Scholarship (Legal Service)","Law"
"Hwa Chong Institution","Overseas Merit Scholarship","Male","Others","Others","Overseas Merit Scholarship (Open)","Mathematics"
"Raffles Institution","Overseas Merit Scholarship","Unknown","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Hwa Chong Institution","Overseas Merit Scholarship","Unknown","Engineering","Others","Overseas Merit Scholarship (Open)","Engineering"
"Raffles Institution","Others","Male","Humanities","Others","SPF Overseas Scholarship","Humanities"
"Others","Overseas Merit Scholarship","Unknown","Humanities","Others","Overseas Merit Scholarship (Open)","Humanities"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Science","Others","Overseas Merit Scholarship (Open)","Science"
"Hwa Chong Institution","SG Government Scholarship","Unknown","Economics","Others","Singapore Government Scholarship (Open)","Economics"
"Others","SG Government Scholarship","Unknown","Engineering","Others","Singapore Government Scholarship (Open)","Engineering"
"Anglo Chinese School (Independent)","SG Government Scholarship","Unknown","Economics","Others","Singapore Government Scholarship (Open)","Economics"
"Others","SG Government Scholarship","Unknown","Economics","Others","Singapore Government Scholarship (Open)","Economics"
"Hwa Chong Institution","SG Government Scholarship","Unknown","Science","Others","Singapore Government Scholarship (Open)","Science"
"Raffles Institution","Overseas Merit Scholarship","Female","Science","Others","Overseas Merit Scholarship (Open)","Science"
"Others","Overseas Merit Scholarship","Unknown","Engineering","Others","Overseas Merit Scholarship (Open)","Engineering"
"Victoria Junior College","Overseas Merit Scholarship","Male","Science","Others","Overseas Merit Scholarship (Teaching)","Science"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Others","Others","Overseas Merit Scholarship (Legal Service)","Law"
"Anglo Chinese School (Independent)","SG Government Scholarship","Female","Economics","Others","Singapore Government Scholarship (Open)","Economics"
"Raffles Institution","SG Government Scholarship","Female","Science","Others","Singapore Government Scholarship (Open)","Science"
"Others","SG Government Scholarship","Unknown","Others","Others","Singapore Government Scholarship (Open)","Business"
"Raffles Institution","Overseas Merit Scholarship","Unknown","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Victoria Junior College","Others","Unknown","Humanities","Others","PSC Master's Scholarship","Humanities"
"Others","SAF's Scholarship","Male","Engineering","Others","SAF Overseas Scholarship","Engineering"
"Others","Overseas Merit Scholarship","Female","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Hwa Chong Institution","SAF's Scholarship","Male","Engineering","Others","SAF Overseas Scholarship","Engineering"
"Others","SG Government Scholarship","Male","Engineering","Others","Singapore Government Scholarship (Open)","Engineering"
"Others","Overseas Merit Scholarship","Unknown","Engineering","Others","Overseas Merit Scholarship (Open)","Engineering"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Humanities","Others","Overseas Merit Scholarship (Open)","Humanities"
"Others","SG Government Scholarship","Unknown","Others","Others","Singapore Government Scholarship (Open)","Business"
"Others","SG Government Scholarship","Unknown","Others","Others","Singapore Government Scholarship (Open)","Business"
"Raffles Institution","SG Government Scholarship","Unknown","Humanities","Others","Singapore Government Scholarship (Open)","Humanities"
"Others","Overseas Merit Scholarship","Unknown","Science","Others","Overseas Merit Scholarship (Open)","Science"
"Others","SG Government Scholarship","Unknown","Economics","Others","Singapore Government Scholarship (Open)","Economics"
"Hwa Chong Institution","SAF's Scholarship","Male","Economics","Others","SAF Overseas Scholarship","Economics"
"Others","Overseas Merit Scholarship","Unknown","Others","Others","Local-Overseas Merit Scholarship (Open)","Law"
"Others","SG Government Scholarship","Unknown","Economics","Others","Singapore Government Scholarship (Open)","Economics"
"Others","SG Government Scholarship","Female","Humanities","Others","Singapore Government Scholarship (Open)","Humanities"
"Hwa Chong Institution","SG Government Scholarship","Unknown","Economics","Others","Singapore Government Scholarship (Open)","Economics"
"Others","SG Government Scholarship","Male","Humanities","Others","Singapore Government Scholarship (Open)","Humanities"
